"decimalLongitude","decimalLatitude","eventDate","scientificName","country","stateProvince","locality","year"
-155.996301,19.721397,"2024-01-02T18:33:57","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.892857,19.458476,"2024-01-19T18:20:16","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-154.935309,19.594983,"2024-01-21T21:10:26","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.231689,19.43109,"2024-01-28T19:24:44","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-154.86524,19.538541,"2024-01-15T18:16","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.966451,19.639538,"2024-02-03T18:30:22","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.966523,19.639449,"2024-02-05T19:45:59","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.097256,19.727443,"2024-02-12T18:34:35","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.097223,19.727372,"2024-02-12T18:36:05","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.238562,19.413943,"2024-02-15T19:24:40","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.617755,19.090326,"2024-02-14T13:32:04","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.871322,19.427703,"2024-02-05T19:10","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.871369,19.427636,"2024-02-07T22:14","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.871369,19.427636,"2024-02-07T22:14","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.039229,19.714409,"2024-02-19T16:49","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.871383,19.427692,"2024-02-08T20:48","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.614731,19.060175,"2024-02-10T21:05","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.614747,19.060167,"2024-02-11T17:48","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.614958,19.059908,"2024-02-13T18:12","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.614761,19.060356,"2024-02-13T19:04","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.092503,19.70775,"2024-02-22T00:42","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.950359,19.685039,"2024-02-23T20:11:15","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.978789,19.723491,"2024-02-23T20:15","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.97913,19.726843,"2024-02-27T20:12","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-154.905476,19.49239,"2024-03-08T18:34:16","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-156.321767,20.914018,"2024-03-28T22:17:55","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.473353,19.269813,"2024-04-01T20:29:29","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.654249,20.027643,"2024-04-14T21:19","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.092885,19.727766,"2024-04-15T20:24:53","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.974563,19.710322,"2024-04-17T22:22:24","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.958779,19.605563,"2024-04-22T20:33:53","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.423197,19.586033,"2024-04-29T20:25","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.919226,19.474587,"2024-05-08","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.926466,19.517253,"2024-05-08T19:09:43","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.198608,19.441697,"2024-05-12T00:31:33","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.024129,19.564558,"2024-05-16T19:03:45","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.021686,19.53425,"2024-05-16T19:01:23","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-154.853323,19.465621,"2024-05-25T21:00:06","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.926489,19.517133,"2024-05-08T19:27","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.115879,19.869202,"2024-05-24T23:26:57","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.090605,19.466142,"2024-06-01T12:27:37","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-154.928663,19.457267,"2024-06-02T21:32:30","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-154.967789,19.593506,"2024-06-09T23:03:03","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.128885,19.659566,"2024-06-13T22:27","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-154.946905,19.617704,"2024-06-15T19:23:27","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.985778,19.716363,"2024-06-11T20:18:15","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.236624,19.445884,"2024-06-18T20:51:31","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.240063,19.428776,"2024-06-25T21:10:08","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.152932,19.855126,"2024-06-18T16:46:49","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.067051,19.727574,"2024-06-10T09:37","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.993287,19.714712,"2024-07-05T21:12:48","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-154.967834,19.593475,"2024-07-11T23:33:36","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.978365,19.680969,"2024-07-15T20:52:14","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.153216,19.445512,"2024-07-16T21:56:35","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.030285,19.802991,"2024-07-17T17:49:37","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.054359,19.448866,"2024-07-18T20:22:30","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.193414,19.485585,"2024-07-18T20:29:24","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.093737,19.50171,"2024-07-20T21:06:03","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.08157,19.517696,"2024-07-20T23:46:44","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.0369,19.590264,"2024-07-20T23:47:56","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.051291,19.440724,"2024-07-20T23:49:20","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.121864,19.417166,"2024-07-20T23:49:37","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
-155.144036,19.483441,"2024-07-23T21:40:25","Eleutherodactylus coqui Thomas, 1966","United States of America","Hawaii",NA,2024
