"decimalLongitude","decimalLatitude","eventDate","scientificName","country","stateProvince","year"
-158.018258,21.365767,"2024-03-04T13:05","Oryctes rhinoceros (Linnaeus, 1758)","United States of America","Hawaii",2024
-157.76732,21.378497,"2024-03-08T09:14:32","Oryctes rhinoceros (Linnaeus, 1758)","United States of America","Hawaii",2024
-158.019323,21.367421,"2024-03-04T10:26","Oryctes rhinoceros (Linnaeus, 1758)","United States of America","Hawaii",2024
-157.981751,21.401127,"2024-04-01T10:17:16","Oryctes rhinoceros (Linnaeus, 1758)","United States of America","Hawaii",2024
-158.023051,21.497055,"2024-05-09T10:04","Oryctes rhinoceros (Linnaeus, 1758)","United States of America","Hawaii",2024
-157.804445,21.333947,"2024-07-01T08:28:39","Oryctes rhinoceros (Linnaeus, 1758)","United States of America","Hawaii",2024
-157.802969,21.332827,"2024-07-22T16:24:41","Oryctes rhinoceros (Linnaeus, 1758)","United States of America","Hawaii",2024
-157.80366,21.335537,"2024-08-05T09:47:14","Oryctes rhinoceros (Linnaeus, 1758)","United States of America","Hawaii",2024
-158.014175,21.395983,"2024-08-10T09:29:53","Oryctes rhinoceros (Linnaeus, 1758)","United States of America","Hawaii",2024
-158.006364,21.452453,"2024-08-26T20:32:34","Oryctes rhinoceros (Linnaeus, 1758)","United States of America","Hawaii",2024
-158.011734,21.389221,"2023-03-07T14:13:48","Oryctes rhinoceros (Linnaeus, 1758)","United States of America","Hawaii",2023
-158.019333,21.357333,"2023-05-01T13:21","Oryctes rhinoceros (Linnaeus, 1758)","United States of America","Hawaii",2023
-158.1783,21.4071,"2023-08-16T21:12:49","Oryctes rhinoceros (Linnaeus, 1758)","United States of America","Hawaii",2023
-158.176924,21.406534,"2023-08-16T21:09:59","Oryctes rhinoceros (Linnaeus, 1758)","United States of America","Hawaii",2023
-158.057769,21.309595,"2023-09-14T11:50:47","Oryctes rhinoceros (Linnaeus, 1758)","United States of America","Hawaii",2023
-157.838302,21.46179,"2023-09-18T17:13","Oryctes rhinoceros (Linnaeus, 1758)","United States of America","Hawaii",2023
-157.85075,21.29151,"2023-09-04T07:15","Oryctes rhinoceros (Linnaeus, 1758)","United States of America","Hawaii",2023
-158.115743,21.486033,"2023-10-11T12:17:48","Oryctes rhinoceros (Linnaeus, 1758)","United States of America","Hawaii",2023
-158.213044,21.463455,"2023-11-25T10:58:57","Oryctes rhinoceros (Linnaeus, 1758)","United States of America","Hawaii",2023
-158.032113,21.489836,"2023-11-25T18:21:55","Oryctes rhinoceros (Linnaeus, 1758)","United States of America","Hawaii",2023
-158.113618,21.375368,"2022-05-23T12:51","Oryctes rhinoceros (Linnaeus, 1758)","United States of America","Hawaii",2022
-158.113355,21.375763,"2022-07-19T11:16","Oryctes rhinoceros (Linnaeus, 1758)","United States of America","Hawaii",2022
