"decimalLongitude","decimalLatitude","eventDate","scientificName","country","stateProvince","year"
-155.136573,19.599114,"2024-01-06T08:52","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2024
-155.886189,19.916188,"2024-04-16T16:47:01","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2024
-155.024536,19.733672,"2024-09-08T15:49:14","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2024
-155.140275,19.723213,"2023-01-14T14:48:03","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2023
-155.963942,19.611852,"2023-01-06T18:49","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2023
-155.033119,19.61231,"2023-01-31T10:18:28","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2023
-155.965867,19.649738,"2023-04-13T08:33:37","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2023
-155.06344,19.72747,"2023-07-20T10:00","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2023
-154.959503,19.605983,"2023-08-05T09:13:58","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2023
-155.093317,19.807343,"2023-08-07T18:19","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2023
-155.990314,19.632109,"2023-08-08T10:10","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2023
-155.913942,19.490428,"2023-09-05T12:22:56","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2023
-155.145522,19.416899,"2023-09-19T08:15:38","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2023
-155.239939,19.993455,"2023-09-20T15:59","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2023
-157.715447,21.392803,"2023-10-26T11:50:43","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2023
-155.070542,19.704237,"2023-11-14T15:20:39","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2023
-154.94742,19.605072,"2022-01-02T15:32:40","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2022
-155.871476,19.922083,"2022-05-19T12:56:56","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2022
-155.552573,19.617231,"2022-05-26T17:26","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2022
-155.137863,19.792673,"2022-06-26T13:04:32","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2022
-154.903574,19.483084,"2022-07-19T11:37","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2022
-155.15495,19.853369,"2022-08-27T18:06","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2022
-157.722812,21.335568,"2022-09-17T13:20","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2022
-155.884872,19.918401,"2022-10-03T08:51","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2022
-155.164727,19.934847,"2022-10-07T09:16","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2022
-155.09338,19.80652,"2021-02-20T14:53","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2021
-155.151476,19.638703,"2021-05-30T16:25:36","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2021
-155.880447,19.422972,"2021-07-20T13:31:50","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2021
-155.880312,19.423003,"2021-07-20T13:26:29","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2021
-154.994492,19.525312,"2021-08-10T17:11:24","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2021
-155.082724,19.725512,"2020-03-06T14:43:34","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2020
-154.874576,19.51234,"2020-10-04T17:32:23","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2020
-155.074292,19.676375,"2020-10-05T13:52:18","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2020
-157.835281,21.280029,"2019-03-04T14:08:13","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2019
-155.108268,19.718792,"2019-10-10T10:47","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2019
-155.0759,19.7169,"2017-03-12T17:14","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2017
-156.03449,19.69067,"2017-11-20T17:28","Wasmannia auropunctata (Roger, 1863)","United States of America","Hawaii",2017
